comunidad,casos,casos_notificados,datetime
La Rioja,995,767,2020-03-26
Ceuta,10,10,2020-03-26
Melilla,39,28,2020-03-26
Andalucía,3010,2034,2020-03-25
Aragón,907,264,2020-03-25
Asturias,779,645,2020-03-25
Baleares,562,235,2020-03-25
Canarias,657,278,2020-03-25
Cantabria,510,304,2020-03-25
Castilla La Mancha,2780,0,2020-03-25
Castilla y León,2940,767,2020-03-25
Cataluña,9937,1928,2020-03-25
Comunitat Valenciana,2616,1717,2020-03-25
Extremadura,742,807,2020-03-25
Galicia,1653,132,2020-03-25
Madrid,14597,8950,2020-03-25
Murcia,477,382,2020-03-25
Navarra,1197,1058,2020-03-25
País Vasco,3271,428,2020-03-25
La Rioja,928,682,2020-03-25
Ceuta,9,9,2020-03-25
Melilla,38,28,2020-03-25
Andalucía,2471,2034,2020-03-24
Aragón,758,264,2020-03-24
Asturias,662,645,2020-03-24
Baleares,478,171,2020-03-24
Canarias,557,278,2020-03-24
Cantabria,425,304,2020-03-24
Castilla La Mancha,2465,0,2020-03-24
Castilla y León,2460,767,2020-03-24
Cataluña,7864,1928,2020-03-24
Comunitat Valenciana,2167,1211,2020-03-24
Extremadura,636,651,2020-03-24
Galicia,1415,81,2020-03-24
Madrid,12352,8950,2020-03-24
Murcia,385,304,2020-03-24
Navarra,1014,0,2020-03-24
País Vasco,2728,428,2020-03-24
La Rioja,802,563,2020-03-24
Ceuta,6,6,2020-03-24
Melilla,28,24,2020-03-24
Andalucía,1961,219,2020-03-23
Aragón,638,69,2020-03-23
Asturias,594,450,2020-03-23
Baleares,400,157,2020-03-23
Canarias,481,278,2020-03-23
Cantabria,347,304,2020-03-23
Castilla La Mancha,2078,0,2020-03-23
Castilla y León,2055,767,2020-03-23
Cataluña,5925,1928,2020-03-23
Comunitat Valenciana,1901,1119,2020-03-23
Extremadura,493,370,2020-03-23
Galicia,1208,55,2020-03-23
Madrid,10575,8950,2020-03-23
Murcia,345,304,2020-03-23
Navarra,886,0,2020-03-23
País Vasco,2421,428,2020-03-23
La Rioja,747,448,2020-03-23
Ceuta,6,5,2020-03-23
Melilla,28,24,2020-03-23
Andalucía,1287,219,2020-03-20
Aragón,360,69,2020-03-20
Asturias,344,450,2020-03-20
Baleares,203,94,2020-03-20
Canarias,287,278,2020-03-20
Cantabria,144,0,2020-03-20
Castilla La Mancha,1044,0,2020-03-20
Castilla y León,1147,767,2020-03-20
Cataluña,3270,14,2020-03-20
Comunitat Valenciana,1105,762,2020-03-20
Extremadura,297,234,2020-03-20
Galicia,578,14,2020-03-20
Madrid,7165,24,2020-03-20
Murcia,204,0,2020-03-20
Navarra,554,0,2020-03-20
País Vasco,1465,427,2020-03-20
La Rioja,497,277,2020-03-20
Ceuta,5,5,2020-03-20
Melilla,24,23,2020-03-20
Andalucía,859,219,2020-03-18
Aragón,226,31,2020-03-18
Asturias,242,1,2020-03-18
Baleares,112,70,2020-03-18
Canarias,181,70,2020-03-18
Cantabria,68,0,2020-03-18
Castilla La Mancha,675,0,2020-03-18
Castilla y León,668,31,2020-03-18
Cataluña,1866,14,2020-03-18
Comunitat Valenciana,726,163,2020-03-18
Extremadura,194,120,2020-03-18
Galicia,341,3,2020-03-18
Madrid,5637,24,2020-03-18
Murcia,122,0,2020-03-18
Navarra,386,0,2020-03-18
País Vasco,973,427,2020-03-18
La Rioja,419,101,2020-03-18
Ceuta,1,1,2020-03-18
Melilla,20,1,2020-03-18
Andalucía,554,219,2020-03-16
Aragón,174,31,2020-03-16
Asturias,177,1,2020-03-16
Baleares,73,35,2020-03-16
Canarias,119,70,2020-03-16
Cantabria,58,0,2020-03-16
Castilla La Mancha,567,0,2020-03-16
Castilla y León,334,31,2020-03-16
Cataluña,903,14,2020-03-16
Comunitat Valenciana,409,163,2020-03-16
Extremadura,111,11,2020-03-16
Galicia,245,3,2020-03-16
Madrid,4165,24,2020-03-16
Murcia,77,0,2020-03-16
Navarra,274,0,2020-03-16
País Vasco,630,6,2020-03-16
La Rioja,312,101,2020-03-16
Ceuta,1,1,2020-03-16
Melilla,8,0,2020-03-16
Andalucía,219,46,2020-03-13
Aragón,80,33,2020-03-13
Asturias,67,9,2020-03-13
Baleares,30,11,2020-03-13
Canarias,70,7,2020-03-13
Cantabria,29,13,2020-03-13
Castilla La Mancha,194,11,2020-03-13
Castilla y León,169,83,2020-03-13
Cataluña,316,3,2020-03-13
Comunitat Valenciana,94,19,2020-03-13
Extremadura,39,12,2020-03-13
Galicia,85,31,2020-03-13
Madrid,1990,95,2020-03-13
Murcia,35,0,2020-03-13
Navarra,130,9,2020-03-13
País Vasco,417,31,2020-03-13
La Rioja,243,16,2020-03-13
Ceuta,0,0,2020-03-13
Melilla,2,2,2020-03-13
Andalucía,90,42,2020-03-11
Aragón,45,27,2020-03-11
Asturias,32,4,2020-03-11
Baleares,16,11,2020-03-11
Canarias,37,6,2020-03-11
Cantabria,12,12,2020-03-11
Castilla La Mancha,71,11,2020-03-11
Castilla y León,71,41,2020-03-11
Cataluña,156,3,2020-03-11
Comunitat Valenciana,65,19,2020-03-11
Extremadura,9,9,2020-03-11
Galicia,39,24,2020-03-11
Madrid,1024,95,2020-03-11
Murcia,11,0,2020-03-11
Navarra,46,9,2020-03-11
País Vasco,225,26,2020-03-11
La Rioja,179,16,2020-03-11
Ceuta,0,0,2020-03-11
Melilla,0,0,2020-03-11
Andalucía,54,34,2020-03-09
Aragón,13,10,2020-03-09
Asturias,7,4,2020-03-09
Baleares,11,6,2020-03-09
Canarias,22,4,2020-03-09
Cantabria,12,12,2020-03-09
Castilla La Mancha,26,11,2020-03-09
Castilla y León,23,22,2020-03-09
Cataluña,75,3,2020-03-09
Comunitat Valenciana,37,19,2020-03-09
Extremadura,7,8,2020-03-09
Galicia,6,13,2020-03-09
Madrid,469,43,2020-03-09
Murcia,4,0,2020-03-09
Navarra,3,4,2020-03-09
País Vasco,149,15,2020-03-09
La Rioja,81,9,2020-03-09
Ceuta,0,0,2020-03-09
Melilla,0,0,2020-03-09
Andalucía,12,12,2020-03-05
Aragón,1,0,2020-03-05
Asturias,5,1,2020-03-05
Baleares,6,5,2020-03-05
Canarias,8,8,2020-03-05
Cantabria,10,0,2020-03-05
Castilla La Mancha,13,0,2020-03-05
Castilla y León,11,9,2020-03-05
Cataluña,24,14,2020-03-05
Comunitat Valenciana,22,19,2020-03-05
Extremadura,6,6,2020-03-05
Galicia,1,1,2020-03-05
Madrid,90,24,2020-03-05
Murcia,0,0,2020-03-05
Navarra,3,0,2020-03-05
País Vasco,28,6,2020-03-05
La Rioja,11,2,2020-03-05
Ceuta,0,0,2020-03-05
Melilla,0,0,2020-03-05
Andalucía,12,0,2020-03-03
Asturias,1,0,2020-03-03
Baleares,3,2,2020-03-03
Canarias,8,6,2020-03-03
Cantabria,10,0,2020-03-03
Castilla La Mancha,3,0,2020-03-03
Castilla y León,8,6,2020-03-03
Cataluña,15,12,2020-03-03
Comunitat Valenciana,15,15,2020-03-03
Extremadura,6,0,2020-03-03
Madrid,29,16,2020-03-03
Navarra,2,0,2020-03-03
País Vasco,10,0,2020-03-03
La Rioja,1,0,2020-03-03
Andalucía,12,0,2020-03-02
Asturias,1,0,2020-03-02
Baleares,2,1,2020-03-02
Canarias,7,6,2020-03-02
Cantabria,10,0,2020-03-02
Castilla La Mancha,3,0,2020-03-02
Castilla y León,9,2,2020-03-02
Cataluña,12,3,2020-03-02
Comunitat Valenciana,15,10,2020-03-02
Extremadura,6,0,2020-03-02
Madrid,32,11,2020-03-02
Navarra,1,0,2020-03-02
País Vasco,9,0,2020-03-02
